,Offshore mean,Offshore std,Crossing mean,Crossing std,Inshore mean,Inshore std
919,0.0012384623760445682,0.007158366187666529,0.0008077078354253836,0.004478533986826731,0.0014712245348189414,0.007012250241366572
920,0.0012496882688022284,0.0071906649657276665,0.0008164876582984658,0.004508025416073352,0.0014822625988857936,0.007045520976379929
921,0.001228320582172702,0.007103127307917576,0.0008042737977684797,0.004468370842258649,0.0014622588983286909,0.006976332501312746
922,0.0012002516448467967,0.006999629949378386,0.0007876329065550907,0.0044194313578720555,0.0014365225487465182,0.006894405364213723
923,0.001231255856545961,0.007150997363617566,0.0008090579735006973,0.004518880006918612,0.0014713465473537603,0.007044619144292048
924,0.0012365276977715878,0.007170999793552273,0.0008127566806136682,0.004532105758370929,0.0014760881378830081,0.007061944071573956
925,0.001203492552924791,0.007037532904572809,0.0007901771311018133,0.0044460144458912595,0.0014400028328690807,0.006925952611891212
926,0.001219068729805014,0.007135358448673738,0.0007995896708507672,0.004504247218786425,0.0014571313913649025,0.007013251711513042
927,0.0012525588105849583,0.007271965012006673,0.0008208300167364019,0.004583959974198425,0.0014900747103064064,0.007135354245477247
928,0.0012450954512534817,0.007243843916285479,0.0008144864030683404,0.004556568244672519,0.0014809100013927576,0.007098257983254737
929,0.0012428372409470753,0.0072434041921398,0.0008117283863319386,0.004550287305487416,0.0014790002869080779,0.00709648209426339
930,0.0012470422688022284,0.007277527647717119,0.0008133870836820084,0.004569460180350757,0.0014862532047353759,0.0071384977818935245
931,0.0013016736824512534,0.007500157157145688,0.0008493772398884238,0.004702046057969342,0.0015421664610027854,0.007349812571914479
932,0.0013491438328690807,0.007654718571236288,0.0008808691297071129,0.004788832330505323,0.0015865718760445684,0.007490259182539863
933,0.0012703916072423398,0.0073399750073341995,0.0008295922873082288,0.004584433433795395,0.001502049610724234,0.007173887474052973
934,0.0013085609066852365,0.007503067208692293,0.0008544900251046024,0.004684448054661211,0.001542143282729805,0.007332973922119572
935,0.001414080298050139,0.007934749330184917,0.0009229448870292888,0.004952346012121858,0.0016525102075208916,0.007755036436382783
936,0.001336781495821727,0.007531295605177106,0.0008728611743375175,0.004723927479272693,0.0015713392632311976,0.0074040349845924235
937,0.0012916019568245127,0.007347073732549289,0.0008436031924686192,0.004623236272014896,0.0015257384818941507,0.007241888057715329
938,0.0013166480835654596,0.007461195731436478,0.0008606895941422595,0.004695314907052237,0.0015482790821727016,0.007338517682377746
939,0.001319171381615599,0.007485367835412345,0.0008631483737796372,0.004706737147399724,0.0015462179331476322,0.007332355376136578
940,0.0013033979665738162,0.007454580882653656,0.0008534508744769875,0.004685548023637798,0.0015284519442896936,0.007278628407326434
941,0.001279206381615599,0.00737960650354704,0.0008376799999999999,0.004648705757064382,0.0015084616253481897,0.007222679029843725
942,0.0012651086242339833,0.0073549874465756475,0.0008282378217573221,0.004640277568247959,0.0014992982841225628,0.0072161582904409355
943,0.0012672301350974927,0.007396187434222202,0.0008296237140864715,0.0046709739240149714,0.0015071843231197772,0.007276702695951539
944,0.001267760069637883,0.007419249014756609,0.0008276464923291492,0.004657195940414113,0.0015066817130919218,0.007281048576011555
945,0.0012667001225626741,0.007432310046493051,0.0008250166347280334,0.004642404939039617,0.001505071023816156,0.007280964318843247
946,0.0012581385139275767,0.007397324182652711,0.0008189553877266389,0.0046242749045943485,0.0014984201490250695,0.007264374608437572
947,0.001265011679665738,0.007410700460202005,0.0008243830209205021,0.00465466195515199,0.0015059977080779943,0.0072925541876616325
948,0.001277908339832869,0.007443383246149453,0.0008343787615062762,0.004705062536117374,0.0015192930320334262,0.007339068696202906
949,0.001272150487465181,0.007405217970713462,0.000831115241283124,0.004694261007844698,0.0015111552186629527,0.007293788915371209
